"date","close","volume","open","high","low"
"2017/07/11","115.6200","6632989.0000","115.2600","115.7700","114.8800"
"2017/07/10","115.4700","4968464.0000","115.0200","115.5700","114.8300"
"2017/07/07","115.2800","11149920.0000","115.7800","115.7900","114.8000"
"2017/07/06","116.4700","4430237.0000","116.5800","116.6100","116.2400"
"2017/07/05","116.5200","7215785.0000","115.9100","116.6700","115.8700"
"2017/07/03","116.0900","12145050.0000","116.5400","116.8500","115.9400"
"2017/06/30","118.0200","7271979.0000","118.0800","118.4100","117.9500"
"2017/06/29","118.3200","7703964.0000","117.9700","118.6400","117.9100"
"2017/06/28","118.9000","4227720.0000","119.0600","119.0600","118.6850"
"2017/06/27","118.8100","5750236.0000","118.8700","119.0500","118.4810"
"2017/06/26","118.3600","6592425.0000","118.2900","118.5350","118.1700"
"2017/06/23","119.4300","9257453.0000","119.6500","119.6600","119.3100"
"2017/06/22","118.9200","5811252.0000","119.1300","119.1978","118.6000"
"2017/06/21","118.5200","4721842.0000","118.1500","118.6600","118.1500"
"2017/06/20","118.1800","4600377.0000","118.4200","118.4600","118.0700"
"2017/06/19","118.4300","6786863.0000","118.7400","118.8400","118.3300"
"2017/06/16","119.3400","6341185.0000","119.3500","119.5000","119.2400"
"2017/06/15","119.3200","6795536.0000","119.2200","119.5000","119.1275"
"2017/06/14","119.8200","21107670.0000","121.5100","121.8800","119.5700"
"2017/06/13","120.4800","3771463.0000","119.9500","120.7100","119.9200"
"2017/06/12","120.3600","4927253.0000","120.3300","120.6850","120.2650"
"2017/06/09","120.5400","7054214.0000","120.4600","120.9100","120.4000"
"2017/06/08","121.6500","8165324.0000","122.0700","122.0800","120.9500"
"2017/06/07","122.4500","9035278.0000","122.7900","123.1600","122.0150"
"2017/06/06","123.1000","10797770.0000","123.0900","123.3100","122.7700"
"2017/06/05","121.7300","3977867.0000","121.9100","121.9400","121.5800"
"2017/06/02","121.6100","7267177.0000","121.3100","121.7100","121.1900"
"2017/06/01","120.7200","8651355.0000","120.1700","120.7400","120.0600"
"2017/05/31","120.6200","10360350.0000","120.3100","121.2300","120.2600"
"2017/05/30","120.1400","4507008.0000","120.2400","120.3300","119.9500"
"2017/05/26","120.5400","6782498.0000","120.4900","120.7900","120.3300"
"2017/05/25","119.4800","4098779.0000","119.5200","119.6950","119.2900"
"2017/05/24","119.6100","7063961.0000","119.0700","119.7425","118.9150"
"2017/05/23","119.1400","8302685.0000","120.1300","120.1900","118.9841"
"2017/05/22","119.9000","5119866.0000","119.6300","120.1400","119.5800"
"2017/05/19","119.4000","6786236.0000","119.3900","119.5450","118.8800"
"2017/05/18","118.8100","10338070.0000","119.7700","119.8400","118.5600"
"2017/05/17","119.7900","13903670.0000","119.3600","120.0200","119.2700"
"2017/05/16","117.6500","4886427.0000","117.4500","117.9100","117.4000"
"2017/05/15","117.1400","4481661.0000","117.5200","117.5400","116.9900"
"2017/05/12","116.8300","5432362.0000","117.0700","117.1600","116.7300"
"2017/05/11","116.5000","6269293.0000","116.2100","116.8450","116.1850"
"2017/05/10","116.0400","4289058.0000","116.4200","116.4999","115.8600"
"2017/05/09","116.0500","6731322.0000","116.1800","116.2400","115.5600"
"2017/05/08","116.7500","5399231.0000","117.0300","117.1400","116.6800"
"2017/05/05","117.0100","7126700.0000","116.8600","117.0700","116.6800"
"2017/05/04","116.7900","12402920.0000","116.8100","117.2800","116.6300"
"2017/05/03","117.9800","10807160.0000","119.1800","119.3400","117.9200"
"2017/05/02","119.6500","4899155.0000","119.3000","119.6500","119.2400"
"2017/05/01","119.6700","9331190.0000","120.2100","120.7500","119.3500"
"2017/04/28","120.7700","9131642.0000","120.3400","120.7700","120.2700"
"2017/04/27","120.3900","8263984.0000","120.4200","120.5975","119.9700"
"2017/04/26","120.8400","9754266.0000","120.2100","120.9600","119.8700"
"2017/04/25","120.2500","10340900.0000","120.5300","120.8700","120.0500"
"2017/04/24","121.4800","11038030.0000","120.7700","121.5100","120.6601"
"2017/04/21","122.3100","15583220.0000","122.1400","122.6100","121.7300"
"2017/04/20","121.9600","11782670.0000","121.8200","122.1700","121.5000"
"2017/04/19","121.7300","8465571.0000","122.2500","122.2600","121.2800"
"2017/04/18","122.8200","10900520.0000","122.4300","123.0292","121.7300"
"2017/04/17","122.2400","8467345.0000","122.5500","123.0700","121.9900"
"2017/04/13","122.6000","9889439.0000","122.5400","122.6500","122.0300"
"2017/04/12","122.0200","9478184.0000","121.3800","122.2200","121.1400"
"2017/04/11","121.1900","12445820.0000","120.3300","121.4000","120.2900"
"2017/04/10","119.4600","4621565.0000","119.0400","119.6900","118.8500"
"2017/04/07","119.4600","12349940.0000","120.3000","120.6700","119.1400"
"2017/04/06","119.1800","4607204.0000","119.2200","119.4200","118.9750"
"2017/04/05","119.6200","8096792.0000","118.6200","119.6300","118.4000"
"2017/04/04","119.6200","4686797.0000","119.5900","119.7700","119.3800"
"2017/04/03","119.3500","6079961.0000","118.6900","119.3700","118.6700"
"2017/03/31","118.7200","8519441.0000","118.6100","119.0800","118.4600"
"2017/03/30","118.4700","6892703.0000","118.7700","119.1200","118.3200"
"2017/03/29","119.3300","4910528.0000","119.2200","119.4500","119.0470"
"2017/03/28","119.0400","7111597.0000","119.7400","119.8300","118.7800"
"2017/03/27","119.5300","8518559.0000","119.9300","120.0800","119.2700"
"2017/03/24","118.8600","6876585.0000","118.5000","119.2100","118.3900"
"2017/03/23","118.6700","6194525.0000","119.1500","119.2500","118.3200"
"2017/03/22","118.8300","7282863.0000","118.8700","119.1500","118.6800"
"2017/03/21","118.5400","9560492.0000","117.7700","118.8000","117.7600"
"2017/03/20","117.5645","3993302.0000","117.3100","117.5950","117.2050"
"2017/03/17","116.9900","4682669.0000","117.0400","117.2700","116.9100"
"2017/03/16","116.7300","9318830.0000","117.2700","117.2900","116.6900"
"2017/03/15","116.2500","13511580.0000","114.2900","116.2500","114.0200"
"2017/03/14","114.1200","5300325.0000","114.5400","115.0100","114.0250"
